harder | negative: 0.000030
beware | negative: 0.000090
crackling | positive: 0.000043
public | negative: 0.000121
stairs | negative: 0.000136
who | positive: 0.000801
cake | positive: 0.000087
johnny | negative: 0.000015
theory | negative: 0.000030
hyatts | deceptive: 0.000018
secondwind | positive: 0.000043
pricelinecom | truthful: 0.000052
exchange | positive: 0.000043
outlets | deceptive: 0.000018
activated | truthful: 0.000017
dish | truthful: 0.000035
become | truthful: 0.000035
dr | deceptive: 0.000018
nordstroms | deceptive: 0.000018
23rd | truthful: 0.000052
furniture | positive: 0.000281
grindingly | positive: 0.000022
far | truthful: 0.000436
burgers | negative: 0.000030
men | negative: 0.000090
mildewy | deceptive: 0.000054
overcharging | truthful: 0.000035
bustle | truthful: 0.000017
makes | deceptive: 0.000272
lke | positive: 0.000022
extrodinary | truthful: 0.000017
truck | positive: 0.000022
wobbled | truthful: 0.000017
cigarettes | truthful: 0.000017
4000 | positive: 0.000043
coffees | truthful: 0.000017
appear | truthful: 0.000035
robotic | positive: 0.000022
rri | truthful: 0.000035
hit | positive: 0.000043
eucalyptus | positive: 0.000065
flooded | truthful: 0.000052
young | deceptive: 0.000054
within | deceptive: 0.000272
revenue | positive: 0.000022
overpriced | deceptive: 0.000345
basket | negative: 0.000030
lakeviewbreakfast | truthful: 0.000035
cruisethe | negative: 0.000015
playing | negative: 0.000060
soothe | deceptive: 0.000036
awkwardly | truthful: 0.000017
doesnt | deceptive: 0.000109
transferring | negative: 0.000030
lamp | truthful: 0.000035
continental | deceptive: 0.000163
outfittings | negative: 0.000030
woken | negative: 0.000045
article | deceptive: 0.000036
costs | truthful: 0.000105
nap | deceptive: 0.000036
2224 | truthful: 0.000035
bottle | negative: 0.000136
echilon | positive: 0.000022
touted | positive: 0.000022
newly | positive: 0.000022
resemble | deceptive: 0.000036
1112 | deceptive: 0.000018
chicagoillinois | negative: 0.000030
limp | negative: 0.000045
loved | positive: 0.001428
began | positive: 0.000043
doughnuts | deceptive: 0.000018
thoughtful | positive: 0.000043
importantly | positive: 0.000130
favor | truthful: 0.000070
vehicle | deceptive: 0.000018
homegame | positive: 0.000043
qualified | deceptive: 0.000018
easier | negative: 0.000030
desserts | truthful: 0.000035
1150pm | deceptive: 0.000018
runningyou | positive: 0.000022
nook | truthful: 0.000035
us | truthful: 0.003920
bill | negative: 0.000332
reminded | negative: 0.000045
scared | positive: 0.000043
budge | truthful: 0.000017
minibar | truthful: 0.000279
trays | negative: 0.000030
caliber | truthful: 0.000017
confirmedthere | truthful: 0.000035
brett | negative: 0.000030
squeese | negative: 0.000030
android | deceptive: 0.000036
hop | positive: 0.000022
disappointments | negative: 0.000030
tier | negative: 0.000030
severly | positive: 0.000022
upholstery | deceptive: 0.000018
coast | truthful: 0.000122
scenic | deceptive: 0.000018
paradise | truthful: 0.000035
young | negative: 0.000196
intercommunicative | negative: 0.000030
shells | positive: 0.000022
parties | negative: 0.000075
sofabeds | truthful: 0.000035
cooked | negative: 0.000060
carousing | positive: 0.000022
unhelpful | deceptive: 0.000145
packing | truthful: 0.000052
ps | deceptive: 0.000018
duh | deceptive: 0.000018
112 | deceptive: 0.000018
cards | positive: 0.000087
sofitels | negative: 0.000015
hopped | deceptive: 0.000036
stirrers | negative: 0.000030
larger | positive: 0.000173
burned | truthful: 0.000035
areusually | deceptive: 0.000018
youll | truthful: 0.000087
lures | truthful: 0.000035
24 | deceptive: 0.000218
complimentartry | positive: 0.000043
posh | positive: 0.000043
worthwhile | positive: 0.000043
twelveth | positive: 0.000022
roots | negative: 0.000030
stain | truthful: 0.000070
olympia | negative: 0.000030
manicure | negative: 0.000015
quiet | negative: 0.000226
minimalist | positive: 0.000043
otherwise | deceptive: 0.000036
magnificant | positive: 0.000108
dismayed | truthful: 0.000017
blue | negative: 0.000030
enormous | positive: 0.000108
reaching | positive: 0.000022
loyalty | deceptive: 0.000018
international | positive: 0.000043
festivals | truthful: 0.000035
helps | deceptive: 0.000036
affina | negative: 0.000060
fraction | positive: 0.000022
sofabeds | deceptive: 0.000018
pot | truthful: 0.000070
fall | deceptive: 0.000127
shouting | truthful: 0.000017
inedible | deceptive: 0.000018
cultured | truthful: 0.000017
evident | positive: 0.000043
travel | positive: 0.000454
days | negative: 0.000754
put | deceptive: 0.000326
invisible | negative: 0.000030
160th | negative: 0.000015
accept | deceptive: 0.000054
fabulously | positive: 0.000022
rep | negative: 0.000030
ashtrays | negative: 0.000030
heresay | truthful: 0.000035
delivered | truthful: 0.000244
entering | deceptive: 0.000145
colleague | truthful: 0.000017
effective | negative: 0.000030
bathrooms | negative: 0.000196
alcove | deceptive: 0.000018
downloaded | negative: 0.000015
directions | truthful: 0.000105
thirty | deceptive: 0.000036
die | deceptive: 0.000163
mundane | negative: 0.000015
sofas | negative: 0.000015
chacago | deceptive: 0.000036
seven | positive: 0.000043
wonderbar | deceptive: 0.000036
inbuilding | positive: 0.000022
yrs | deceptive: 0.000018
boarding | negative: 0.000030
collected | truthful: 0.000017
crust | truthful: 0.000017
shocking | deceptive: 0.000036
cocktails | deceptive: 0.000036
cupboard | deceptive: 0.000018
mr | negative: 0.000060
timeframe | truthful: 0.000035
actual | positive: 0.000022
alters | positive: 0.000022
menu | positive: 0.000216
thunderstorm | positive: 0.000043
problem | deceptive: 0.000363
trex | positive: 0.000065
await | deceptive: 0.000018
mustdo | truthful: 0.000035
upgreade | negative: 0.000030
proudly | deceptive: 0.000036
centrallylocated | negative: 0.000015
rollins | negative: 0.000015
reunited | deceptive: 0.000036
fitfull | negative: 0.000030
added | deceptive: 0.000091
spaces | negative: 0.000030
instinct | negative: 0.000030
ny | truthful: 0.000035
video | deceptive: 0.000073
feedback | positive: 0.000022
betterjust | negative: 0.000015
highest | truthful: 0.000052
paraphernalia | positive: 0.000043
return | deceptive: 0.000653
whole | positive: 0.000368
lounging | positive: 0.000065
615 | truthful: 0.000035
attentionissues | truthful: 0.000035
coworker | deceptive: 0.000036
punched | deceptive: 0.000036
complaining | truthful: 0.000052
crisps | negative: 0.000015
electrocuted | negative: 0.000030
ignore | deceptive: 0.000109
office | negative: 0.000136
unbelieveable | negative: 0.000015
rated | truthful: 0.000087
rattyyou | positive: 0.000022
coupleit | truthful: 0.000035
upscale | truthful: 0.000139
elephants | positive: 0.000022
musically | truthful: 0.000017
homey | truthful: 0.000035
2day | truthful: 0.000035
anda | negative: 0.000015
hell | deceptive: 0.000054
west | truthful: 0.000052
shopped | positive: 0.000043
visitor | truthful: 0.000035
humble | truthful: 0.000017
disturbed | truthful: 0.000035
fresher | deceptive: 0.000036
acne | truthful: 0.000052
gown | positive: 0.000022
highlights | negative: 0.000030
content | deceptive: 0.000036
ding | positive: 0.000022
worn | truthful: 0.000227
duration | negative: 0.000030
look | truthful: 0.000540
blase | truthful: 0.000035
repeated | negative: 0.000030
san | negative: 0.000045
seperate | negative: 0.000015
intention | truthful: 0.000017
grandkids | positive: 0.000022
unexpected | negative: 0.000015
housekeepers | positive: 0.000043
qualities | negative: 0.000030
brandnew | deceptive: 0.000018
october | deceptive: 0.000018
travelling | negative: 0.000060
depart | truthful: 0.000035
sufferers | negative: 0.000030
useful | positive: 0.000087
vacuumed | positive: 0.000022
ammenities | negative: 0.000045
slippery | negative: 0.000030
overall | truthful: 0.000645
2224 | positive: 0.000022
consistent | truthful: 0.000052
restraint | positive: 0.000022
cup | truthful: 0.000087
immaculate | deceptive: 0.000127
zagat | deceptive: 0.000018
suv | positive: 0.000043
clashing | positive: 0.000022
likingthe | truthful: 0.000035
collection | positive: 0.000043
tv | positive: 0.000606
juicy | deceptive: 0.000036
theft | truthful: 0.000035
foot | truthful: 0.000087
brick | positive: 0.000022
90 | positive: 0.000043
kingsized | truthful: 0.000017
expiring | positive: 0.000022
unsatisfied | truthful: 0.000017
mom | negative: 0.000030
terrace | deceptive: 0.000073
2 | positive: 0.001038
23 | negative: 0.000015
jamie | deceptive: 0.000054
rocks | positive: 0.000022
marleythey | negative: 0.000015
fairmont | negative: 0.000498
absolutly | deceptive: 0.000018
employed | positive: 0.000043
picnic | negative: 0.000015
dble | positive: 0.000043
sometime | deceptive: 0.000018
advanced | truthful: 0.000035
followed | positive: 0.000043
de | negative: 0.000030
noisy | truthful: 0.000244
deskperson | truthful: 0.000035
sliver | truthful: 0.000052
designed | truthful: 0.000052
pull | positive: 0.000087
1395 | positive: 0.000022
booze | deceptive: 0.000036
heavenly | positive: 0.000043
built | truthful: 0.000070
dancing | truthful: 0.000035
beddown | deceptive: 0.000018
looby | truthful: 0.000035
immediate | deceptive: 0.000036
3x4 | deceptive: 0.000018
attic | truthful: 0.000035
beforehand | deceptive: 0.000036
relieved | truthful: 0.000035
gimmicks | truthful: 0.000017
tvbrightness | truthful: 0.000035
international | truthful: 0.000035
jacuzzi | positive: 0.000087
international | negative: 0.000045
charged | truthful: 0.000453
orange | negative: 0.000045
luster | negative: 0.000030
decade | negative: 0.000030
gentleman | truthful: 0.000052
rough | negative: 0.000075
sealed | truthful: 0.000052
hyatts | positive: 0.000043
shoppers | deceptive: 0.000018
entry | negative: 0.000030
accessible | positive: 0.000022
forgotten | truthful: 0.000035
does | negative: 0.000422
teeny | deceptive: 0.000018
confronted | negative: 0.000045
sloppy | positive: 0.000022
everyday | truthful: 0.000035
impressed | positive: 0.000671
skipped | truthful: 0.000035
sleepy | deceptive: 0.000036
devices | deceptive: 0.000018
lace | positive: 0.000043
930pm | negative: 0.000030
catalogue | positive: 0.000022
bliss | deceptive: 0.000036
upset | negative: 0.000121
excluding | deceptive: 0.000018
insincere | truthful: 0.000035
handful | positive: 0.000022
shriveled | truthful: 0.000017
electronic | truthful: 0.000017
lift | negative: 0.000075
roughly | truthful: 0.000017
scouts | truthful: 0.000017
basics | negative: 0.000030
uninformed | positive: 0.000022
mignon | negative: 0.000075
encourages | deceptive: 0.000018
types | negative: 0.000030
requeststhe | positive: 0.000022
boards | truthful: 0.000035
confortable | positive: 0.000043
litlle | positive: 0.000043
providing | truthful: 0.000052
average | truthful: 0.000209
ordered | truthful: 0.000314
chamber | positive: 0.000043
hairdryer | negative: 0.000045
skills | negative: 0.000015
attacks | deceptive: 0.000054
avail | positive: 0.000022
discuss | positive: 0.000043
yet | deceptive: 0.000508
department | positive: 0.000043
compelled | deceptive: 0.000018
hype | negative: 0.000060
either | truthful: 0.000296
homey | positive: 0.000065
realise | negative: 0.000030
seek | deceptive: 0.000036
fitzpatrick | negative: 0.000075
sat | negative: 0.000211
different | truthful: 0.000697
cheaper | truthful: 0.000139
surprisingly | truthful: 0.000017
downgraded | negative: 0.000045
went | negative: 0.001614
safely | deceptive: 0.000036
dean | truthful: 0.000035
regards | positive: 0.000022
die | negative: 0.000015
middle | deceptive: 0.000127
ramadabut | positive: 0.000043
jumped | negative: 0.000030
picturesque | deceptive: 0.000036
79 | positive: 0.000022
dots | truthful: 0.000035
omelettes | deceptive: 0.000018
9pm | deceptive: 0.000054
monday | truthful: 0.000070
waited | negative: 0.000302
felt | truthful: 0.000645
decker | deceptive: 0.000036
radio | positive: 0.000087
generous | deceptive: 0.000036
images | deceptive: 0.000054
pedals | truthful: 0.000017
affordable | negative: 0.000090
perry | deceptive: 0.000018
plentiful | positive: 0.000043
flavor | positive: 0.000022
artistic | negative: 0.000015
slower | positive: 0.000043
hill | positive: 0.000043
checkincheckout | negative: 0.000030
precious | truthful: 0.000017
suitcase | positive: 0.000043
traveled | truthful: 0.000122
confirming | deceptive: 0.000018
lstation | negative: 0.000030
coworkers | negative: 0.000030
list | deceptive: 0.000218
treating | deceptive: 0.000036
spread | deceptive: 0.000036
kits | positive: 0.000043
authorizations | truthful: 0.000035
daily | negative: 0.000045
155 | negative: 0.000015
four | truthful: 0.000540
76 | truthful: 0.000035
prestige | truthful: 0.000017
btw | positive: 0.000022
135 | truthful: 0.000017
el | truthful: 0.000139
went | deceptive: 0.001650
reeked | positive: 0.000043
receiving | positive: 0.000043
embarrasing | negative: 0.000030
connecting | deceptive: 0.000018
daysi | deceptive: 0.000018
theming | positive: 0.000022
flying | truthful: 0.000070
lake | positive: 0.000627
stained | negative: 0.000196
suntimes | positive: 0.000043
normally | negative: 0.000121
dinnerperfect | deceptive: 0.000018
amazingly | positive: 0.000108
reports | truthful: 0.000035
ordinary | deceptive: 0.000073
nyc | positive: 0.000043
typically | truthful: 0.000017
wandered | deceptive: 0.000036
kicker | negative: 0.000030
veneer | truthful: 0.000017
photos | negative: 0.000196
leaving | deceptive: 0.000181
cheese | positive: 0.000087
tastefully | negative: 0.000015
3day | positive: 0.000043
lord | positive: 0.000022
insitiute | positive: 0.000043
10yearold | negative: 0.000030
print | negative: 0.000060
cancellations | positive: 0.000043
stares | deceptive: 0.000036
duty | negative: 0.000106
mistaken | deceptive: 0.000036
tools | deceptive: 0.000018
strictly | truthful: 0.000017
apology | truthful: 0.000105
murmer | negative: 0.000030
detatched | negative: 0.000015
24days | deceptive: 0.000018
play | negative: 0.000075
defeat | truthful: 0.000017
thorough | deceptive: 0.000018
restraint | deceptive: 0.000018
roomcomfy | truthful: 0.000035
312 | truthful: 0.000017
inform | truthful: 0.000035
awardwinning | deceptive: 0.000036
weekdays | negative: 0.000030
queue | positive: 0.000022
representation | truthful: 0.000035
function | negative: 0.000075
selections | positive: 0.000043
doubles | truthful: 0.000070
bits | negative: 0.000030
marble | negative: 0.000015
overlook | positive: 0.000065
icing | positive: 0.000043
respond | positive: 0.000043
combination | deceptive: 0.000054
mild | negative: 0.000030
feet | truthful: 0.000122
tables | truthful: 0.000087
transferred | negative: 0.000060
performers | negative: 0.000015
marked | truthful: 0.000052
workstation | deceptive: 0.000036
road | truthful: 0.000105
preferential | deceptive: 0.000018
omni | truthful: 0.000418
unconcerned | truthful: 0.000035
cockroach | positive: 0.000022
scrape | deceptive: 0.000018
beck | negative: 0.000030
overcrowed | deceptive: 0.000018
red | truthful: 0.000261
californians | deceptive: 0.000036
duty | truthful: 0.000087
la | deceptive: 0.000036
insufficient | truthful: 0.000035
chilled | positive: 0.000065
route | positive: 0.000022
simple | deceptive: 0.000054
hangers | negative: 0.000030
influenced | deceptive: 0.000036
phone | positive: 0.000173
positives | truthful: 0.000052
uptodate | deceptive: 0.000036
puppy | negative: 0.000015
elegantly | negative: 0.000015
lifeless | negative: 0.000030
updated | deceptive: 0.000036
425 | negative: 0.000030
chicagocentric | truthful: 0.000017
awry | deceptive: 0.000036
hyped | negative: 0.000030
trainging | negative: 0.000030
l | negative: 0.000106
budge | deceptive: 0.000036
recorded | truthful: 0.000035
1050glass | deceptive: 0.000018
halfway | deceptive: 0.000018
supposedly | negative: 0.000136
stone | truthful: 0.000035
soaking | positive: 0.000065
loft | deceptive: 0.000036
furiture | truthful: 0.000035
assure | truthful: 0.000017
tomato | negative: 0.000030
click | positive: 0.000022
required | truthful: 0.000122
060405 | truthful: 0.000035
uncluttered | deceptive: 0.000018
morningall | positive: 0.000043
colleague | deceptive: 0.000091
min | truthful: 0.000122
ignored | positive: 0.000022
48day | deceptive: 0.000018
roomcomfy | deceptive: 0.000018
planet | negative: 0.000030
trumps | deceptive: 0.000018
200 | positive: 0.000087
legs | deceptive: 0.000036
wa | truthful: 0.000035
practicing | negative: 0.000030
modest | deceptive: 0.000018
remain | positive: 0.000043
treated | truthful: 0.000296
modem | positive: 0.000043
reminded | deceptive: 0.000073
cute | truthful: 0.000035
nevertheless | positive: 0.000043
humiliated | truthful: 0.000017
conferences | positive: 0.000022
vending | negative: 0.000090
disgusted | positive: 0.000022
or | positive: 0.002077
cot | positive: 0.000022
circumstances | positive: 0.000022
knikerbocker | positive: 0.000043
disabled | positive: 0.000022
mark | negative: 0.000060
charities | deceptive: 0.000036
fitzpatrick | positive: 0.000043
partying | positive: 0.000022
size | positive: 0.000606
247 | positive: 0.000022
cost | truthful: 0.000453
tastes | negative: 0.000030
abassador | positive: 0.000022
ensuring | truthful: 0.000017
problems | truthful: 0.000505
w | deceptive: 0.000018
property | deceptive: 0.000109
reputatuion | deceptive: 0.000018
strewn | truthful: 0.000035
delay | positive: 0.000022
declined | negative: 0.000045
epicenter | positive: 0.000043
limited | deceptive: 0.000091
active | negative: 0.000015
heresay | negative: 0.000030
base | positive: 0.000043
millenium | negative: 0.000090
slab | positive: 0.000022
acommodations | negative: 0.000030
booze | negative: 0.000030
decadence | deceptive: 0.000036
indicates | negative: 0.000015
hors | deceptive: 0.000018
showing | truthful: 0.000070
convenient | positive: 0.000563
took | negative: 0.001297
decorated | deceptive: 0.000272
backwards | negative: 0.000030
cubs | positive: 0.000065
becuase | negative: 0.000015
laid | deceptive: 0.000054
voices | truthful: 0.000017
muffled | positive: 0.000043
serve | negative: 0.000075
economy | truthful: 0.000035
breathed | negative: 0.000015
entertainment | positive: 0.000173
affinia | deceptive: 0.000562
immediately | negative: 0.000302
refuge | negative: 0.000030
robbery | positive: 0.000022
behavior | deceptive: 0.000018
canted | truthful: 0.000035
danish | truthful: 0.000035
hazard | positive: 0.000022
truth | truthful: 0.000105
doll | deceptive: 0.000018
queen | negative: 0.000256
lake | truthful: 0.000470
incomparable | positive: 0.000043
meeting | truthful: 0.000261
roger | negative: 0.000015
configurations | truthful: 0.000035
impecable | negative: 0.000015
david | positive: 0.000065
technically | deceptive: 0.000036
matters | truthful: 0.000017
enthusiasm | positive: 0.000043
apologies | truthful: 0.000035
keys | truthful: 0.000087
told | deceptive: 0.000943
renting | positive: 0.000043
day | negative: 0.001734
wake | deceptive: 0.000145
charging | deceptive: 0.000018
cheerfully | positive: 0.000022
pipes | negative: 0.000075
invitinggreat | positive: 0.000043
emaculate | truthful: 0.000017
wished | positive: 0.000065
everelusive | positive: 0.000043
elements | deceptive: 0.000018
mmmhhwe | negative: 0.000015
salty | negative: 0.000030
buisness | deceptive: 0.000036
californians | positive: 0.000022
reliable | truthful: 0.000052
heck | negative: 0.000030
junkie | positive: 0.000043
planetarium | negative: 0.000015
chimes | negative: 0.000030
sum | positive: 0.000043
imressive | positive: 0.000043
appointment | positive: 0.000043
largest | negative: 0.000030
year | truthful: 0.000540
umbrella | negative: 0.000030
hallo | positive: 0.000043
shot | truthful: 0.000017
meridian | deceptive: 0.000018
email | truthful: 0.000279
jaymes | positive: 0.000065
skyscrapers | deceptive: 0.000018
orbitz | deceptive: 0.000018
remorse | negative: 0.000030
dust | truthful: 0.000052
showeri | negative: 0.000045
31369 | truthful: 0.000035
vent | deceptive: 0.000054
lessthanmaintained | positive: 0.000022
sister | truthful: 0.000122
runny | positive: 0.000043
nevermind | truthful: 0.000035
brochures | deceptive: 0.000036
begin | positive: 0.000043
spring | deceptive: 0.000036
acne | deceptive: 0.000018
after | deceptive: 0.003029
grindingly | deceptive: 0.000018
holding | positive: 0.000022
locationwise | positive: 0.000043
assured | negative: 0.000211
6 | truthful: 0.000244
adored | deceptive: 0.000036
sneak | negative: 0.000015
flith | positive: 0.000022
promo | deceptive: 0.000018
even | positive: 0.002034
complimentary | negative: 0.000407
radient | positive: 0.000022
blues | truthful: 0.000052
trouser | negative: 0.000015
stressful | truthful: 0.000017
1150pm | negative: 0.000030
realy | negative: 0.000015
am | truthful: 0.001150
extradionary | negative: 0.000015
coworkers | deceptive: 0.000036
steamer | negative: 0.000015
groupings | deceptive: 0.000018
european | truthful: 0.000122
gloss | truthful: 0.000035
patiently | truthful: 0.000017
dealers | deceptive: 0.000036
eveing | negative: 0.000030
99524hrs | positive: 0.000043
masseurs | truthful: 0.000017
registering | truthful: 0.000035
complicated | truthful: 0.000035
grounds | positive: 0.000065
exterior | positive: 0.000043
favorite | deceptive: 0.000363
games | truthful: 0.000017
reader | negative: 0.000045
emerge | deceptive: 0.000036
500 | truthful: 0.000105
generic | deceptive: 0.000073
1519 | positive: 0.000043
wanting | positive: 0.000087
ordeal | positive: 0.000043
afterwards | truthful: 0.000017
nostalgia | positive: 0.000043
army | positive: 0.000022
ratings | truthful: 0.000035
score | deceptive: 0.000036
dreamy | deceptive: 0.000054
rasheeda | negative: 0.000015
serves | negative: 0.000060
swear | truthful: 0.000017
simply | positive: 0.000260
reaked | truthful: 0.000035
kick | negative: 0.000030
150night | truthful: 0.000035
own | deceptive: 0.000399
did | truthful: 0.002561
wafted | deceptive: 0.000018
hill | deceptive: 0.000018
sony | deceptive: 0.000018
pushed | deceptive: 0.000036
walls | positive: 0.000130
refuse | truthful: 0.000017
cities | negative: 0.000060
arching | positive: 0.000043
private | positive: 0.000043
lady | truthful: 0.000139
esp | negative: 0.000015
senses | positive: 0.000043
awoken | negative: 0.000030
falls | deceptive: 0.000073
tends | deceptive: 0.000054
questionable | negative: 0.000030
personality | negative: 0.000030
nervously | negative: 0.000030
specifically | truthful: 0.000122
blow | truthful: 0.000035
breath | deceptive: 0.000091
theres | deceptive: 0.000145
still | negative: 0.000890
pricepoint | negative: 0.000030
clair | negative: 0.000045
youd | positive: 0.000043
appetizer | truthful: 0.000035
bill | deceptive: 0.000200
gallet | negative: 0.000015
shortstaffed | negative: 0.000030
documents | negative: 0.000030
whens | truthful: 0.000035
couples | positive: 0.000108
likely | positive: 0.000043
detail | negative: 0.000106
fair | negative: 0.000106
waiters | negative: 0.000030
til | negative: 0.000030
unload | negative: 0.000030
architectural | negative: 0.000030
mag | truthful: 0.000070
complete | truthful: 0.000174
blender | truthful: 0.000052
episode | truthful: 0.000035
suite | positive: 0.001320
relaxed | deceptive: 0.000127
roomyeahi | negative: 0.000030
both | deceptive: 0.000562
stall | positive: 0.000065
internet | negative: 0.000890
working | negative: 0.000362
11th | truthful: 0.000035
miles | negative: 0.000045
control | negative: 0.000181
snooty | positive: 0.000043
trained | negative: 0.000060
interfering | negative: 0.000030
verify | positive: 0.000043
earn | truthful: 0.000017
pity | truthful: 0.000035
underneath | negative: 0.000060
extented | truthful: 0.000035
compensated | deceptive: 0.000036
bedspread | truthful: 0.000017
local | deceptive: 0.000163
arraingments | negative: 0.000030
from | positive: 0.006534
mumbles | truthful: 0.000017
whim | deceptive: 0.000036
knowledgable | positive: 0.000065
unresolved | truthful: 0.000035
excluded | positive: 0.000022
olddirty | deceptive: 0.000018
stuff | positive: 0.000108
restarant | negative: 0.000030
inadvertently | negative: 0.000030
croissant | negative: 0.000030
throwback | positive: 0.000043
anglethe | negative: 0.000015
hole | deceptive: 0.000054
unruly | deceptive: 0.000036
adler | positive: 0.000043
sweetie | deceptive: 0.000018
glut | deceptive: 0.000036
advertising | deceptive: 0.000054
ie | deceptive: 0.000036
onto | positive: 0.000043
saidok | truthful: 0.000035
dictated | negative: 0.000030
longingly | positive: 0.000022
tjhat | deceptive: 0.000018
reluctantly | truthful: 0.000052
juice | positive: 0.000043
inwindow | deceptive: 0.000036
43 | deceptive: 0.000036
sterile | truthful: 0.000035
cview | negative: 0.000045
ive | positive: 0.000779
unpleasant | positive: 0.000022
worker | deceptive: 0.000073
mrs | deceptive: 0.000036
scraper | truthful: 0.000017
army | deceptive: 0.000036
terror | deceptive: 0.000036
paris | negative: 0.000045
existing | truthful: 0.000035
exceed | deceptive: 0.000036
national | truthful: 0.000035
web | deceptive: 0.000018
casual | positive: 0.000022
buisness | positive: 0.000043
